the,64203
project,88
gutenberg,31
ebook,11
of,34789
king,2264
james,51
bible,8
this,2833
is,7014
for,8996
use,46
anyone,5
anywhere,2
at,1585
no,1404
cost,7
and,51764
with,6059
almost,13
restrictions,2
whatsoever,154
you,2683
may,1042
copy,21
it,6144
give,884
away,917
or,1200
reuse,2
under,398
terms,21
license,15
included,3
online,4
wwwgutenbergorg,3
title,4
release,22
date,3
march,6
2,2
2011,21
10,1
was,4524
orginally,1
posted,6
by,2644
in,12725
late,4
1989,1
language,28
english,1
start,3
old,383
testament,16
version,2
first,444
book,214
moses,852
called,634
genesis,1
11,66
beginning,107
god,4442
created,47
heavens,135
earth,987
12,66
without,434
form,28
void,25
darkness,162
upon,2750
face,416
deep,65
spirit,505
moved,75
waters,287
13,66
said,3999
let,1511
there,2301
be,7032
light,272
14,66
saw,548
that,12927
good,720
divided,69
from,3657
15,66
day,1734
he,10421
night,307
evening,60
morning,227
were,2772
16,66
a,8234
firmament,17
midst,364
divide,49
17,65
made,1405
which,4420
above,223
so,1690
18,65
heaven,581
second,181
19,65
gathered,267
together,484
unto,8997
one,1968
place,717
dry,71
land,1718
appear,55
110,65
gathering,11
seas,25
111,97
bring,725
forth,896
grass,62
herb,19
yielding,7
seed,279
fruit,208
tree,201
after,1179
his,8473
kind,46
whose,314
itself,50
112,94
brought,863
113,93
third,185
114,92
lights,10
to,13660
them,6430
signs,53
seasons,12
days,881
years,542
115,89
116,86
two,835
great,962
greater,77
rule,66
lesser,3
stars,51
also,1771
117,84
set,703
118,78
over,1008
119,73
fourth,86
120,39
abundantly,32
moving,5
creature,29
hath,2264
life,451
fowl,31
fly,25
open,124
121,70
whales,2
every,1236
living,147
moveth,8
their,3932
winged,2
122,66
blessed,302
saying,1445
fruitful,35
multiply,46
fill,49
123,61
fifth,62
124,60
cattle,153
creeping,29
thing,542
beast,180
125,58
creepeth,14
126,54
us,1452
make,1059
man,2613
our,1169
image,100
likeness,34
have,3909
dominion,62
fish,35
sea,400
air,39
all,5638
127,52
own,596
him,6659
male,46
female,24
128,50
replenish,2
subdue,8
129,46
behold,1326
i,8854
given,499
bearing,22
shall,9840
meat,290
130,14
wherein,167
green,41
131,45
had,2026
very,258
sixth,47
21,61
thus,738
finished,42
host,192
22,61
on,2022
seventh,120
ended,21
work,464
rested,21
23,61
sanctified,62
because,1210
24,61
these,1228
are,2970
generations,120
when,2835
they,7379
lord,7830
25,61
plant,42
field,291
before,1798
grew,28
not,6617
caused,94
rain,102
till,169
ground,192
26,61
but,3997
went,1400
up,2383
mist,3
watered,11
whole,250
27,61
formed,33
dust,108
breathed,4
into,2015
nostrils,15
breath,42
became,106
soul,458
28,61
planted,39
garden,52
eastward,40
eden,20
put,911
whom,764
29,61
out,2776
grow,38
pleasant,57
sight,333
food,55
knowledge,172
evil,613
210,61
river,175
water,396
thence,145
parted,12
four,328
heads,110
211,83
name,929
pison,1
compasseth,5
havilah,7
where,404
gold,417
212,83
bdellium,2
onyx,11
stone,191
213,82
gihon,6
same,333
ethiopia,20
214,78
hiddekel,2
goeth,135
toward,346
east,157
assyria,118
euphrates,21
215,78
took,750
dress,9
keep,364
216,75
commanded,443
thou,5474
mayest,114
freely,21
eat,655
217,72
shalt,1616
eatest,3
thereof,906
surely,284
die,321
218,68
should,785
alone,109
will,3843
an,1703
help,129
meet,133
219,66
adam,30
see,600
what,986
would,451
call,195
220,42
gave,465
names,127
found,405
221,61
sleep,82
fall,252
slept,49
ribs,2
closed,11
flesh,420
instead,39
222,60
rib,5
taken,338
woman,357
her,1994
223,55
now,1356
bone,19
my,4368
bones,99
she,983
224,48
therefore,1237
leave,115
father,979
mother,245
cleave,30
wife,396
225,47
both,363
naked,47
ashamed,122
31,60
serpent,38
more,687
subtil,3
than,484
any,949
yea,340
ye,3983
32,60
we,1853
trees,157
33,60
neither,879
touch,48
lest,240
34,60
35,60
doth,207
know,764
then,2169
your,1787
eyes,503
opened,137
as,3530
gods,270
knowing,51
36,59
desired,50
wise,247
did,1006
husband,120
37,59
knew,169
sewed,2
fig,41
leaves,19
themselves,409
aprons,2
38,59
heard,641
voice,505
walking,30
cool,2
hid,129
presence,116
amongst,2
39,58
art,494
310,58
thy,4600
afraid,193
myself,118
311,68
who,971
told,282
thee,3826
wast,66
hast,1070
eaten,105
whereof,72
shouldest,73
312,67
gavest,34
me,4096
313,66
done,565
beguiled,5
314,64
cursed,72
belly,49
go,1492
315,64
enmity,8
between,232
bruise,8
head,364
heel,6
316,61
greatly,87
sorrow,70
conception,3
children,1802
desire,111
317,60
hearkened,81
sake,145
318,55
thorns,50
thistles,3
319,49
sweat,3
bread,361
return,266
320,34
wifes,11
eve,4
321,43
coats,14
skins,24
clothed,73
322,39
become,135
hand,1466
take,874
live,247
ever,476
323,35
sent,686
whence,72
324,34
drove,12
placed,14
cherubims,65
flaming,9
sword,424
turned,287
way,666
41,53
conceived,46
bare,185
cain,20
gotten,25
42,53
again,672
brother,367
abel,16
keeper,21
sheep,187
tiller,1
43,53
process,5
time,623
came,2093
pass,830
offering,724
44,53
firstlings,6
flock,111
fat,130
respect,34
45,53
wroth,49
countenance,53
fell,243
46,53
why,282
fallen,79
47,51
if,1615
doest,45
well,256
accepted,31
sin,447
lieth,59
door,190
48,51
talked,42
rose,131
against,1668
slew,196
49,50
am,874
brothers,36
410,50
blood,447
crieth,17
411,56
mouth,423
receive,179
412,54
tillest,1
henceforth,33
yield,30
strength,242
fugitive,2
vagabond,3
413,53
punishment,27
can,245
bear,215
414,51
driven,49
come,1972
findeth,27
slay,117
415,50
whosoever,182
slayeth,5
vengeance,45
sevenfold,6
mark,38
finding,10
kill,125
416,50
dwelt,226
nod,1
417,46
enoch,12
builded,50
city,869
son,2370
418,43
born,158
irad,2
begat,225
mehujael,2
methusael,2
lamech,12
419,40
wives,133
adah,8
other,478
zillah,3
420,32
jabal,1
such,255
dwell,338
tents,66
421,38
jubal,1
handle,11
harp,30
organ,3
422,35
tubalcain,2
instructer,1
artificer,2
brass,126
iron,101
sister,109
naamah,5
423,30
hear,551
hearken,153
speech,49
slain,183
wounding,1
young,300
hurt,63
424,28
avenged,16
truly,42
seventy,61
425,25
seth,8
appointed,126
another,448
426,23
enos,7
began,179
men,1653
51,47
52,47
53,47
lived,58
hundred,590
thirty,175
54,47
begotten,24
eight,80
sons,1116
daughters,255
55,47
nine,50
died,201
56,47
five,345
57,47
seven,463
58,47
twelve,188
59,47
ninety,24
cainan,7
510,47
fifteen,24
511,50
512,49
mahalaleel,7
513,47
forty,157
514,46
ten,248
515,41
sixty,15
jared,6
516,38
517,37
518,35
519,34
520,29
521,30
methuselah,6
522,27
walked,122
three,485
523,26
524,24
525,24
eighty,3
526,22
527,20
528,17
529,16
noah,51
comfort,66
concerning,243
toil,4
hands,462
530,13
531,14
532,10
shem,17
ham,17
japheth,11
61,42
62,42
fair,53
chose,29
63,42
always,62
strive,22
yet,683
twenty,293
64,42
giants,13
those,466
mighty,284
renown,7
65,42
wickedness,127
imagination,14
thoughts,57
heart,830
only,255
continually,81
66,42
repented,32
grieved,40
67,42
destroy,263
fowls,55
repenteth,5
68,42
grace,170
69,42
just,94
perfect,99
610,42
611,43
corrupt,34
filled,159
violence,57
612,42
looked,143
corrupted,14
613,41
end,309
through,465
614,39
ark,230
gopher,1
wood,140
rooms,7
pitch,19
within,190
615,36
fashion,13
length,77
cubits,213
breadth,89
fifty,157
height,62
616,34
window,16
cubit,45
finish,11
side,442
lower,18
stories,5
617,33
even,1395
do,1385
flood,43
618,32
establish,44
covenant,292
619,29
sort,21
alive,88
620,27
621,27
gather,165
622,25
according,797
71,39
house,2024
seen,277
righteous,238
generation,107
72,39
clean,133
sevens,2
beasts,157
73,39
74,39
cause,330
nights,18
substance,50
off,507
75,39
76,39
six,202
77,39
78,39
79,39
710,39
711,39
hundredth,3
year,367
noahs,2
month,250
seventeenth,6
fountains,15
broken,186
windows,30
712,39
713,39
selfsame,15
entered,107
714,38
bird,28
715,37
716,37
shut,105
717,35
increased,49
lift,104
718,31
prevailed,37
719,31
exceedingly,40
high,416
hills,66
covered,105
720,30
upward,61
prevail,29
mountains,178
721,29
722,28
723,27
destroyed,167
things,1164
remained,53
724,27
81,38
remembered,57
wind,123
asswaged,2
82,38
stopped,15
restrained,8
83,38
returned,184
abated,6
84,38
ararat,2
85,38
decreased,1
until,366
tenth,81
tops,11
86,38
87,38
raven,6
fro,25
dried,39
88,38
dove,18
89,38
rest,275
sole,12
foot,95
pulled,7
810,37
stayed,31
811,38
lo,159
olive,38
leaf,11
pluckt,1
812,38
813,38
removed,93
covering,48
814,35
twentieth,36
815,32
spake,587
816,32
817,32
breed,2
818,30
819,26
kinds,10
820,25
altar,378
offered,143
burnt,366
offerings,265
821,25
smelled,2
sweet,108
savour,54
curse,101
mans,122
youth,70
smite,125
822,25
while,215
remaineth,37
seedtime,1
harvest,61
cold,18
heat,32
summer,27
winter,14
cease,71
91,37
92,37
fear,400
dread,9
fishes,27
delivered,290
93,37
liveth,96
94,37
95,37
lives,28
require,30
96,37
whoso,54
sheddeth,2
shed,52
97,37
therein,229
98,37
99,37
910,37
911,38
cut,320
912,37
token,14
perpetual,28
913,37
bow,100
cloud,107
914,36
915,36
remember,148
916,33
look,156
everlasting,97
917,33
established,74
918,31
canaan,91
919,29
overspread,1
920,28
husbandman,7
vineyard,69
921,28
drank,19
wine,231
drunken,33
uncovered,17
tent,98
922,26
nakedness,57
brethren,563
923,26
garment,86
laid,279
shoulders,20
backward,18
faces,73
fathers,696
924,25
awoke,8
younger,31
925,24
servant,489
servants,489
926,24
927,23
enlarge,10
928,19
929,17
101,36
102,36
gomer,6
magog,5
madai,2
javan,7
tubal,8
meshech,8
tiras,2
103,36
ashkenaz,1
riphath,2
togarmah,4
104,35
elishah,3
tarshish,24
kittim,2
dodanim,2
105,35
isles,27
gentiles,129
lands,46
tongue,129
families,174
nations,336
106,35
cush,7
mizraim,4
phut,2
107,35
seba,4
sabtah,1
raamah,5
sabtechah,1
sheba,32
dedan,11
108,35
nimrod,4
109,35
hunter,4
wherefore,348
1010,35
kingdom,342
babel,2
erech,1
accad,1
calneh,2
shinar,7
1011,36
asshur,8
nineveh,18
rehoboth,4
calah,2
1012,35
resen,1
1013,34
ludim,2
anamim,2
lehabim,2
naphtuhim,2
1014,34
pathrusim,2
casluhim,2
philistim,1
caphtorim,1
1015,33
sidon,14
heth,14
1016,32
jebusite,14
amorite,14
girgasite,1
1017,32
hivite,9
arkite,2
sinite,2
1018,32
arvadite,2
zemarite,2
hamathite,2
afterward,66
canaanites,55
spread,110
abroad,80
1019,28
border,158
comest,29
gerar,10
gaza,19
goest,46
sodom,48
gomorrah,19
admah,5
zeboim,5
lasha,1
1020,26
tongues,36
countries,56
1021,25
eber,13
elder,20
1022,23
elam,28
arphaxad,10
lud,4
aram,10
1023,20
uz,7
hul,2
gether,2
mash,1
1024,20
salah,6
1025,20
peleg,7
joktan,6
1026,19
almodad,2
sheleph,2
hazarmaveth,2
jerah,2
1027,19
